Charting Week, Chart Position, Song Title, Artist, Previous Position, Peak Position, Weeks on Chart
1958-08-04,1,Poor Little Fool,Ricky Nelson,-,1,1
1958-08-04,2,Patricia,Perez Prado And His Orchestra,-,2,1
1958-08-04,3,Splish Splash,Bobby Darin,-,3,1
1958-08-04,4,Hard Headed Woman,Elvis Presley With The Jordanaires,-,4,1
1958-08-04,5,When,Kalin Twins,-,5,1
1958-08-04,6,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,-,6,1
1958-08-04,7,Yakety Yak,The Coasters,-,7,1
1958-08-04,8,My True Love,Jack Scott,-,8,1
1958-08-04,9,Willie And The Hand Jive,The Johnny Otis Show,-,9,1
1958-08-04,10,Fever,Peggy Lee,-,10,1
1958-08-04,11,Ginger Bread,Frankie Avalon,-,11,1
1958-08-04,12,Just A Dream,Jimmy Clanton And His Rockets,-,12,1
1958-08-04,13,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,-,13,1
1958-08-04,14,If Dreams Came True,Pat Boone,-,14,1
1958-08-04,15,For Your Precious Love,Jerry Butler and The Impressions,-,15,1
1958-08-04,16,One Summer Night,The Danleers,-,16,1
1958-08-04,17,Endless Sleep,Jody Reynolds,-,17,1
1958-08-04,18,Little Star,The Elegants,-,18,1
1958-08-04,19,Everybody Loves A Lover,Doris Day,-,19,1
1958-08-04,20,Do You Want To Dance,Bobby Freeman,-,20,1
1958-08-04,21,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,-,21,1
1958-08-04,22,A Certain Smile,Johnny Mathis,-,22,1
1958-08-04,23,Western Movies,The Olympics,-,23,1
1958-08-04,24,The Purple People Eater,Sheb Wooley,-,24,1
1958-08-04,25,What Am I Living For,Chuck Willis,-,25,1
1958-08-04,26,Born Too Late,Poni-Tails,-,26,1
1958-08-04,27,Think It Over,The Crickets,-,27,1
1958-08-04,28,Secretly,Jimmie Rodgers,-,28,1
1958-08-04,29,Enchanted Island,The Four Lads,-,29,1
1958-08-04,30,Angel Baby,Dean Martin,-,30,1
1958-08-04,31,Chantilly Lace,Big Bopper,-,31,1
1958-08-04,32,Blue Blue Day,Don Gibson,-,32,1
1958-08-04,33,The Freeze,Tony And Joe,-,33,1
1958-08-04,34,Don't Ask Me Why,Elvis Presley With The Jordanaires,-,34,1
1958-08-04,35,Rock-in Robin,Bobby Day,-,35,1
1958-08-04,36,"No Chemise, Please",Gerry Granahan,-,36,1
1958-08-04,37,Moon Talk,Perry Como,-,37,1
1958-08-04,38,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,-,38,1
1958-08-04,39,That's How Much I Love You,Pat Boone,-,39,1
1958-08-04,40,Crazy Eyes For You,Bobby Hamilton,-,40,1
1958-08-04,41,Early In The Morning,Buddy Holly,-,41,1
1958-08-04,42,You Cheated,The Slades,-,42,1
1958-08-04,43,Come What May,Clyde McPhatter,-,43,1
1958-08-04,44,Jennie Lee,Jan & Arnie,-,44,1
1958-08-04,45,Kathy-O,The Diamonds,-,45,1
1958-08-04,46,(It's Been A Long Time) Pretty Baby,Gino & Gina,-,46,1
1958-08-04,47,I Wonder Why,Dion & The Belmonts,-,47,1
1958-08-04,48,Return To Me,Dean Martin,-,48,1
1958-08-04,49,All I Have To Do Is Dream,The Everly Brothers,-,49,1
1958-08-04,50,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,-,50,1
1958-08-04,50,"Baubles, Bangles And Beads",The Kirby Stone Four,-,50,1
1958-08-04,52,Early In The Morning,The Rinky-Dinks,-,52,1
1958-08-04,53,Come Closer To Me (Acercate Mas),Nat King Cole,-,53,1
1958-08-04,54,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,-,54,1
1958-08-04,55,Let's Go Steady For The Summer,The Three G's,-,55,1
1958-08-04,56,Leroy,Jack Scott,-,56,1
1958-08-04,57,You Need Hands,Eydie Gorme,-,57,1
1958-08-04,58,Fool's Paradise,The Crickets,-,58,1
1958-08-04,59,Young And Warm And Wonderful,Tony Bennett,-,59,1
1958-08-04,60,Over And Over,Bobby Day,-,60,1
1958-08-04,61,Itchy Twitchy Feeling,Bobby Hendricks,-,61,1
1958-08-04,62,For Your Love,Ed Townsend,-,62,1
1958-08-04,63,Padre,Toni Arden,-,63,1
1958-08-04,63,High School Confidential,Jerry Lee Lewis And His Pumping Piano,-,63,1
1958-08-04,65,You're Making A Mistake,The Platters,-,65,1
1958-08-04,66,Delicious!,Jim Backus & Friend,-,66,1
1958-08-04,67,Big Man,The Four Preps,-,67,1
1958-08-04,68,Volare (Nel Blu Dipinto Di Blu),Dean Martin,-,68,1
1958-08-04,69,Op,The Honeycones,-,69,1
1958-08-04,70,Don't Go Home,The Playmates,-,70,1
1958-08-04,71,Got A Match?,Frank Gallup,-,71,1
1958-08-04,72,Stupid Cupid,Connie Francis,-,72,1
1958-08-04,73,Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,-,73,1
1958-08-04,74,Win Your Love For Me,Sam Cooke,-,74,1
1958-08-04,74,Gotta Have Rain,Eydie Gorme,-,74,1
1958-08-04,76,Midnight,Paul Anka,-,76,1
1958-08-04,77,Happy Years,The Diamonds,-,77,1
1958-08-04,78,Betty Lou Got A New Pair Of Shoes,Bobby Freeman,-,78,1
1958-08-04,79,The Bird On My Head,David Seville,-,79,1
1958-08-04,80,Johnny B. Goode,Chuck Berry,-,80,1
1958-08-04,81,Beautiful Delilah,Chuck Berry,-,81,1
1958-08-04,82,Blip Blop,Bill Doggett,-,82,1
1958-08-04,83,Try The Impossible,Lee Andrews And The Hearts,-,83,1
1958-08-04,84,Summertime Blues,Eddie Cochran,-,84,1
1958-08-04,85,Got A Match?,The Daddy-O's,-,85,1
1958-08-04,86,To Be Loved,Jackie Wilson,-,86,1
1958-08-04,87,Jealousy,Kitty Wells,-,87,1
1958-08-04,88,Just Like In The Movies,The Upbeats,-,88,1
1958-08-04,89,Blue Boy,Jim Reeves,-,89,1
1958-08-04,90,Stay,The Ames Brothers,-,90,1
1958-08-04,91,The Purple People Eater Meets The Witch Doctor,Joe South,-,91,1
1958-08-04,92,Bird Dog,The Everly Brothers,-,92,1
1958-08-04,93,Are You Really Mine,Jimmie Rodgers,-,93,1
1958-08-04,94,She Was Only Seventeen (He Was One Year More),Marty Robbins,-,94,1
1958-08-04,95,Little Mary,Fats Domino,-,95,1
1958-08-04,96,Over And Over,Thurston Harris,-,96,1
1958-08-04,97,I Believe In You,Robert & Johnny,-,97,1
1958-08-04,98,Little Serenade,The Ames Brothers,-,98,1
1958-08-04,99,I'll Get By (As Long As I Have You),Billy Williams,-,99,1
1958-08-04,100,Judy,Frankie Vaughan,-,100,1
1958-08-11,1,Poor Little Fool,Ricky Nelson,1,1,2
1958-08-11,2,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,54,2,2
1958-08-11,3,Patricia,Perez Prado And His Orchestra,2,2,2
1958-08-11,4,Splish Splash,Bobby Darin,3,3,2
1958-08-11,5,When,Kalin Twins,5,5,2
1958-08-11,6,My True Love,Jack Scott,8,6,2
1958-08-11,7,Hard Headed Woman,Elvis Presley With The Jordanaires,4,4,2
1958-08-11,8,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,6,6,2
1958-08-11,9,Just A Dream,Jimmy Clanton And His Rockets,12,9,2
1958-08-11,9,Willie And The Hand Jive,The Johnny Otis Show,9,9,2
1958-08-11,11,Yakety Yak,The Coasters,7,7,2
1958-08-11,12,If Dreams Came True,Pat Boone,14,12,2
1958-08-11,13,Fever,Peggy Lee,10,10,2
1958-08-11,14,Little Star,The Elegants,18,14,2
1958-08-11,15,Ginger Bread,Frankie Avalon,11,11,2
1958-08-11,16,Everybody Loves A Lover,Doris Day,19,16,2
1958-08-11,17,One Summer Night,The Danleers,16,16,2
1958-08-11,18,Born Too Late,Poni-Tails,26,18,2
1958-08-11,19,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,13,13,2
1958-08-11,20,Endless Sleep,Jody Reynolds,17,17,2
1958-08-11,21,Western Movies,The Olympics,23,21,2
1958-08-11,22,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,21,21,2
1958-08-11,23,For Your Precious Love,Jerry Butler and The Impressions,15,15,2
1958-08-11,24,Early In The Morning,The Rinky-Dinks,52,24,2
1958-08-11,25,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,38,25,2
1958-08-11,26,Are You Really Mine,Jimmie Rodgers,93,26,2
1958-08-11,27,Do You Want To Dance,Bobby Freeman,20,20,2
1958-08-11,28,A Certain Smile,Johnny Mathis,22,22,2
1958-08-11,29,Enchanted Island,The Four Lads,29,29,2
1958-08-11,30,Moon Talk,Perry Como,37,30,2
1958-08-11,31,What Am I Living For,Chuck Willis,25,25,2
1958-08-11,32,Think It Over,The Crickets,27,27,2
1958-08-11,33,Rock-in Robin,Bobby Day,35,33,2
1958-08-11,34,Bird Dog,The Everly Brothers,92,34,2
1958-08-11,35,Stupid Cupid,Connie Francis,72,35,2
1958-08-11,36,Blue Blue Day,Don Gibson,32,32,2
1958-08-11,37,Volare (Nel Blu Dipinto Di Blu),Dean Martin,68,37,2
1958-08-11,38,Chantilly Lace,Big Bopper,31,31,2
1958-08-11,39,Angel Baby,Dean Martin,30,30,2
1958-08-11,40,Early In The Morning,Buddy Holly,41,40,2
1958-08-11,41,Secretly,Jimmie Rodgers,28,28,2
1958-08-11,42,Susie Darlin',Robin Luke,-,42,1
1958-08-11,43,Devoted To You,The Everly Brothers,-,43,1
1958-08-11,44,Betty Lou Got A New Pair Of Shoes,Bobby Freeman,78,44,2
1958-08-11,45,Blue Boy,Jim Reeves,89,45,2
1958-08-11,46,Come Closer To Me (Acercate Mas),Nat King Cole,53,46,2
1958-08-11,47,The Purple People Eater,Sheb Wooley,24,24,2
1958-08-11,48,You Cheated,The Slades,42,42,2
1958-08-11,49,Come What May,Clyde McPhatter,43,43,2
1958-08-11,50,Itchy Twitchy Feeling,Bobby Hendricks,61,50,2
1958-08-11,51,Alone With You,Faron Young,-,51,1
1958-08-11,52,Summertime Blues,Eddie Cochran,84,52,2
1958-08-11,53,Over And Over,Bobby Day,60,53,2
1958-08-11,54,Don't Ask Me Why,Elvis Presley With The Jordanaires,34,34,2
1958-08-11,55,The Freeze,Tony And Joe,33,33,2
1958-08-11,56,Leroy,Jack Scott,56,56,2
1958-08-11,57,That's How Much I Love You,Pat Boone,39,39,2
1958-08-11,58,Drip Drop,The Drifters,-,58,1
1958-08-11,59,"No Chemise, Please",Gerry Granahan,36,36,2
1958-08-11,60,I Wonder Why,Dion & The Belmonts,47,47,2
1958-08-11,61,Win Your Love For Me,Sam Cooke,74,61,2
1958-08-11,62,Crazy Eyes For You,Bobby Hamilton,40,40,2
1958-08-11,63,Return To Me,Dean Martin,48,48,2
1958-08-11,64,You Need Hands,Eydie Gorme,57,57,2
1958-08-11,65,Padre,Toni Arden,63,63,2
1958-08-11,66,High School Confidential,Jerry Lee Lewis And His Pumping Piano,63,63,2
1958-08-11,67,Lean Jean,Bill Haley And His Comets,-,67,1
1958-08-11,68,You're Making A Mistake,The Platters,65,65,2
1958-08-11,69,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,50,50,2
1958-08-11,70,Try The Impossible,Lee Andrews And The Hearts,83,70,2
1958-08-11,71,Midnight,Paul Anka,76,71,2
1958-08-11,72,Little Mary,Fats Domino,95,72,2
1958-08-11,73,Tears On My Pillow,Little Anthony And The Imperials,-,73,1
1958-08-11,74,Kathy-O,The Diamonds,45,45,2
1958-08-11,75,Let's Go Steady For The Summer,The Three G's,55,55,2
1958-08-11,76,Just Married,Marty Robbins,-,76,1
1958-08-11,77,Jennie Lee,Jan & Arnie,44,44,2
1958-08-11,78,Harvey's Got A Girl Friend,Royal Teens,-,78,1
1958-08-11,79,She Was Only Seventeen (He Was One Year More),Marty Robbins,94,79,2
1958-08-11,80,Happy Years,The Diamonds,77,77,2
1958-08-11,81,Young And Warm And Wonderful,Tony Bennett,59,59,2
1958-08-11,81,Looking Back,Nat King Cole,-,81,1
1958-08-11,83,Jealousy,Kitty Wells,87,83,2
1958-08-11,84,You're A Sweetheart,Little Willie John,-,84,1
1958-08-11,85,The Wizard,Jimmie Rodgers,-,85,1
1958-08-11,86,Moonlight Bay,The Drifters,-,86,1
1958-08-11,87,Come In Stranger,Johnny Cash And The Tennessee Two,-,87,1
1958-08-11,88,Cerveza,Boots Brown And His Blockbusters,-,88,1
1958-08-11,89,The Purple People Eater Meets The Witch Doctor,Joe South,91,89,2
1958-08-11,90,Don't Go Home,The Playmates,70,70,2
1958-08-11,91,All I Have To Do Is Dream,The Everly Brothers,49,49,2
1958-08-11,92,La Paloma,Billy Vaughn And His Orchestra,-,92,1
1958-08-11,93,I Believe In You,Robert & Johnny,97,93,2
1958-08-11,94,Midnighter,The Champs,-,94,1
1958-08-11,95,Chariot Rock,The Champs,-,95,1
1958-08-11,96,Down In Virginia,Jimmy Reed,-,96,1
1958-08-11,97,Sunday Barbecue,Tennessee Ernie Ford,-,97,1
1958-08-11,98,Gotta Have Rain,Eydie Gorme,74,74,2
1958-08-11,99,Nothing In The World,Nat King Cole,-,99,1
1958-08-11,100,"Baubles, Bangles And Beads",The Kirby Stone Four,50,50,2
1958-08-18,1,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,2,1,3
1958-08-18,2,Little Star,The Elegants,14,2,3
1958-08-18,3,My True Love,Jack Scott,6,3,3
1958-08-18,4,Poor Little Fool,Ricky Nelson,1,1,3
1958-08-18,5,Patricia,Perez Prado And His Orchestra,3,2,3
1958-08-18,5,Just A Dream,Jimmy Clanton And His Rockets,9,5,3
1958-08-18,7,When,Kalin Twins,5,5,3
1958-08-18,8,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,8,6,3
1958-08-18,9,Fever,Peggy Lee,13,9,3
1958-08-18,10,Splish Splash,Bobby Darin,4,3,3
1958-08-18,11,Ginger Bread,Frankie Avalon,15,11,3
1958-08-18,12,Willie And The Hand Jive,The Johnny Otis Show,9,9,3
1958-08-18,13,Hard Headed Woman,Elvis Presley With The Jordanaires,7,4,3
1958-08-18,14,Everybody Loves A Lover,Doris Day,16,14,3
1958-08-18,15,If Dreams Came True,Pat Boone,12,12,3
1958-08-18,16,Born Too Late,Poni-Tails,18,16,3
1958-08-18,17,Bird Dog,The Everly Brothers,34,17,3
1958-08-18,18,Yakety Yak,The Coasters,11,7,3
1958-08-18,19,Western Movies,The Olympics,21,19,3
1958-08-18,20,Volare (Nel Blu Dipinto Di Blu),Dean Martin,37,20,3
1958-08-18,21,One Summer Night,The Danleers,17,16,3
1958-08-18,22,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,25,22,3
1958-08-18,23,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,19,13,3
1958-08-18,24,Are You Really Mine,Jimmie Rodgers,26,24,3
1958-08-18,25,Devoted To You,The Everly Brothers,43,25,2
1958-08-18,26,Early In The Morning,The Rinky-Dinks,24,24,3
1958-08-18,27,Susie Darlin',Robin Luke,42,27,2
1958-08-18,28,Think It Over,The Crickets,32,27,3
1958-08-18,29,Chantilly Lace,Big Bopper,38,29,3
1958-08-18,30,A Certain Smile,Johnny Mathis,28,22,3
1958-08-18,31,Stupid Cupid,Connie Francis,35,31,3
1958-08-18,32,Endless Sleep,Jody Reynolds,20,17,3
1958-08-18,33,For Your Precious Love,Jerry Butler and The Impressions,23,15,3
1958-08-18,34,Moon Talk,Perry Como,30,30,3
1958-08-18,35,Blue Blue Day,Don Gibson,36,32,3
1958-08-18,36,Enchanted Island,The Four Lads,29,29,3
1958-08-18,37,Early In The Morning,Buddy Holly,40,37,3
1958-08-18,38,Rock-in Robin,Bobby Day,33,33,3
1958-08-18,39,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,22,21,3
1958-08-18,40,Angel Baby,Dean Martin,39,30,3
1958-08-18,41,Itchy Twitchy Feeling,Bobby Hendricks,50,41,3
1958-08-18,42,What Am I Living For,Chuck Willis,31,25,3
1958-08-18,43,Do You Want To Dance,Bobby Freeman,27,20,3
1958-08-18,44,Summertime Blues,Eddie Cochran,52,44,3
1958-08-18,45,That's How Much I Love You,Pat Boone,57,39,3
1958-08-18,46,Betty Lou Got A New Pair Of Shoes,Bobby Freeman,44,44,3
1958-08-18,47,La Paloma,Billy Vaughn And His Orchestra,92,47,2
1958-08-18,48,Come Closer To Me (Acercate Mas),Nat King Cole,46,46,3
1958-08-18,49,You Cheated,The Slades,48,42,3
1958-08-18,50,The Freeze,Tony And Joe,55,33,3
1958-08-18,51,She Was Only Seventeen (He Was One Year More),Marty Robbins,79,51,3
1958-08-18,52,How The Time Flies,Jerry Wallace,-,52,1
1958-08-18,53,Come What May,Clyde McPhatter,49,43,3
1958-08-18,54,Win Your Love For Me,Sam Cooke,61,54,3
1958-08-18,55,Don't Ask Me Why,Elvis Presley With The Jordanaires,54,34,3
1958-08-18,56,Kathy-O,The Diamonds,74,45,3
1958-08-18,57,Over And Over,Bobby Day,53,53,3
1958-08-18,58,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,69,50,3
1958-08-18,59,"Baubles, Bangles And Beads",The Kirby Stone Four,100,50,3
1958-08-18,60,Borrowed Dreams,Bobby Helms,-,60,1
1958-08-18,61,Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,-,61,2
1958-08-18,62,Crazy Eyes For You,Bobby Hamilton,62,40,3
1958-08-18,63,Tears On My Pillow,Little Anthony And The Imperials,73,63,2
1958-08-18,64,The Wizard,Jimmie Rodgers,85,64,2
1958-08-18,65,Blue Boy,Jim Reeves,45,45,3
1958-08-18,66,You're A Sweetheart,Little Willie John,84,66,2
1958-08-18,67,Near You,Roger Williams,-,67,1
1958-08-18,68,Alone With You,Faron Young,51,51,2
1958-08-18,69,Midnight,Paul Anka,71,69,3
1958-08-18,70,"No Chemise, Please",Gerry Granahan,59,36,3
1958-08-18,71,Padre,Toni Arden,65,63,3
1958-08-18,71,Lazy Summer Night,The Four Preps,-,71,1
1958-08-18,73,Happy Years,The Diamonds,80,73,3
1958-08-18,74,"Summertime, Summertime",The Jamies,-,74,1
1958-08-18,75,Just Like In The Movies,The Upbeats,-,75,2
1958-08-18,76,Straighten Up & Fly Right,DeJohn Sisters,-,76,1
1958-08-18,77,Secretly,Jimmie Rodgers,41,28,3
1958-08-18,78,Chariot Rock,The Champs,95,78,2
1958-08-18,79,Delicious!,Jim Backus & Friend,-,66,2
1958-08-18,80,Let's Go Steady For The Summer,The Three G's,75,55,3
1958-08-18,81,Gas Money,Jan & Arnie,-,81,1
1958-08-18,81,The Purple People Eater,Sheb Wooley,47,24,3
1958-08-18,83,Cerveza,Boots Brown And His Blockbusters,88,83,2
1958-08-18,84,Blip Blop,Bill Doggett,-,82,2
1958-08-18,85,You're Making A Mistake,The Platters,68,65,3
1958-08-18,86,Harvey's Got A Girl Friend,Royal Teens,78,78,2
1958-08-18,87,Gotta Have Rain,Eydie Gorme,98,74,3
1958-08-18,88,Dance Everyone Dance,Betty Madigan,-,88,1
1958-08-18,89,Devotion,Janice Harper,-,89,1
1958-08-18,90,My Life,Chuck Willis,-,90,1
1958-08-18,91,Down The Aisle Of Love,The Quin-Tones,-,91,1
1958-08-18,92,Return To Me,Dean Martin,63,48,3
1958-08-18,93,Down In Virginia,Jimmy Reed,96,93,2
1958-08-18,94,Fire Of Love,Jody Reynolds,-,94,1
1958-08-18,95,Put A Ring On My Finger,Les Paul And Mary Ford,-,95,1
1958-08-18,96,It's All In The Game,Tommy Edwards,-,96,1
1958-08-18,97,Ma Ma Ma Marie,The Gaylords,-,97,1
1958-08-18,98,Where The Blue Of The Night,Tommy Mara,-,98,1
1958-08-18,99,Who Are They To Say,The DeCastro Sisters,-,99,1
1958-08-18,100,Going To Chicago Blues,Count Basie & His Orch.,-,100,1
1958-08-25,1,Little Star,The Elegants,2,1,4
1958-08-25,2,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,1,4
1958-08-25,3,Bird Dog,The Everly Brothers,17,3,4
1958-08-25,4,Just A Dream,Jimmy Clanton And His Rockets,5,4,4
1958-08-25,5,My True Love,Jack Scott,3,3,4
1958-08-25,6,Poor Little Fool,Ricky Nelson,4,1,4
1958-08-25,7,Patricia,Perez Prado And His Orchestra,5,2,4
1958-08-25,8,Born Too Late,Poni-Tails,16,8,4
1958-08-25,8,Fever,Peggy Lee,9,8,4
1958-08-25,10,When,Kalin Twins,7,5,4
1958-08-25,11,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,8,6,4
1958-08-25,12,Willie And The Hand Jive,The Johnny Otis Show,12,9,4
1958-08-25,13,Western Movies,The Olympics,19,13,4
1958-08-25,14,Everybody Loves A Lover,Doris Day,14,14,4
1958-08-25,15,Devoted To You,The Everly Brothers,25,15,3
1958-08-25,16,Splish Splash,Bobby Darin,10,3,4
1958-08-25,17,Ginger Bread,Frankie Avalon,11,11,4
1958-08-25,18,If Dreams Came True,Pat Boone,15,12,4
1958-08-25,19,Volare (Nel Blu Dipinto Di Blu),Dean Martin,20,19,4
1958-08-25,20,Are You Really Mine,Jimmie Rodgers,24,20,4
1958-08-25,21,Hard Headed Woman,Elvis Presley With The Jordanaires,13,4,4
1958-08-25,22,Stupid Cupid,Connie Francis,31,22,4
1958-08-25,23,Susie Darlin',Robin Luke,27,23,3
1958-08-25,24,Summertime Blues,Eddie Cochran,44,24,4
1958-08-25,25,Rock-in Robin,Bobby Day,38,25,4
1958-08-25,26,Tears On My Pillow,Little Anthony And The Imperials,63,26,3
1958-08-25,27,One Summer Night,The Danleers,21,16,4
1958-08-25,28,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,22,22,4
1958-08-25,29,Early In The Morning,The Rinky-Dinks,26,24,4
1958-08-25,30,Chantilly Lace,Big Bopper,29,29,4
1958-08-25,31,Think It Over,The Crickets,28,27,4
1958-08-25,32,Early In The Morning,Buddy Holly,37,32,4
1958-08-25,33,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,23,13,4
1958-08-25,34,A Certain Smile,Johnny Mathis,30,22,4
1958-08-25,35,Yakety Yak,The Coasters,18,7,4
1958-08-25,36,Moon Talk,Perry Como,34,30,4
1958-08-25,37,Betty Lou Got A New Pair Of Shoes,Bobby Freeman,46,37,4
1958-08-25,38,She Was Only Seventeen (He Was One Year More),Marty Robbins,51,38,4
1958-08-25,39,La Paloma,Billy Vaughn And His Orchestra,47,39,3
1958-08-25,40,It's All In The Game,Tommy Edwards,96,40,2
1958-08-25,41,Over And Over,Bobby Day,57,41,4
1958-08-25,42,Itchy Twitchy Feeling,Bobby Hendricks,41,41,4
1958-08-25,43,Blue Blue Day,Don Gibson,35,32,4
1958-08-25,44,Lazy Summer Night,The Four Preps,71,44,2
1958-08-25,45,Win Your Love For Me,Sam Cooke,54,45,4
1958-08-25,46,For Your Precious Love,Jerry Butler and The Impressions,33,15,4
1958-08-25,47,Do You Want To Dance,Bobby Freeman,43,20,4
1958-08-25,48,Enchanted Island,The Four Lads,36,29,4
1958-08-25,49,How The Time Flies,Jerry Wallace,52,49,2
1958-08-25,50,What Am I Living For,Chuck Willis,42,25,4
1958-08-25,51,The Wizard,Jimmie Rodgers,64,51,3
1958-08-25,52,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,58,50,4
1958-08-25,53,Kathy-O,The Diamonds,56,45,4
1958-08-25,54,Don't Ask Me Why,Elvis Presley With The Jordanaires,55,34,4
1958-08-25,55,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,39,21,4
1958-08-25,56,Come Closer To Me (Acercate Mas),Nat King Cole,48,46,4
1958-08-25,57,Carol,Chuck Berry,-,57,1
1958-08-25,58,The Freeze,Tony And Joe,50,33,4
1958-08-25,59,Put A Ring On My Finger,Les Paul And Mary Ford,95,59,2
1958-08-25,60,Angel Baby,Dean Martin,40,30,4
1958-08-25,61,"Summertime, Summertime",The Jamies,74,61,2
1958-08-25,62,The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,-,62,1
1958-08-25,63,Padre,Toni Arden,71,63,4
1958-08-25,64,That's How Much I Love You,Pat Boone,45,39,4
1958-08-25,65,When Will I Know,George Hamilton IV,-,65,1
1958-08-25,66,Gotta Have Rain,Eydie Gorme,87,66,4
1958-08-25,67,Cerveza,Boots Brown And His Blockbusters,83,67,3
1958-08-25,68,Dance Everyone Dance,Betty Madigan,88,68,2
1958-08-25,69,Chariot Rock,The Champs,78,69,3
1958-08-25,70,Alone With You,Faron Young,68,51,3
1958-08-25,71,Endless Sleep,Jody Reynolds,32,17,4
1958-08-25,72,City Lights,Ray Price,-,72,1
1958-08-25,73,Straighten Up & Fly Right,DeJohn Sisters,76,73,2
1958-08-25,74,Count Every Star,The Rivieras,-,74,1
1958-08-25,75,Blue Boy,Jim Reeves,65,45,4
1958-08-25,76,Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,61,61,3
1958-08-25,77,Happy Years,The Diamonds,73,73,4
1958-08-25,78,The Green Mosquito,The Tune Rockers,-,78,1
1958-08-25,79,Midnight,Paul Anka,69,69,4
1958-08-25,80,Strange Are The Ways Of Love,Gogi Grant,-,80,1
1958-08-25,81,Prisoner's Song,Warren Storm,-,81,1
1958-08-25,82,Topsy II,Cozy Cole,-,82,1
1958-08-25,83,Leroy,Jack Scott,-,56,3
1958-08-25,84,Borrowed Dreams,Bobby Helms,60,60,2
1958-08-25,85,Drip Drop,The Drifters,-,58,2
1958-08-25,86,Devotion,Janice Harper,89,86,2
1958-08-25,87,Down The Aisle Of Love,The Quin-Tones,91,87,2
1958-08-25,88,Near You,Roger Williams,67,67,2
1958-08-25,89,My Life,Chuck Willis,90,89,2
1958-08-25,90,Fire Of Love,Jody Reynolds,94,90,2
1958-08-25,91,Ramrod,Duane Eddy His Twangy Guitar And The Rebels,-,91,1
1958-08-25,92,Just Like In The Movies,The Upbeats,75,75,3
1958-08-25,93,The Purple People Eater,Sheb Wooley,81,24,4
1958-08-25,94,You Cheated,The Shields,-,94,1
1958-08-25,95,No One Knows,Dion & The Belmonts,-,95,1
1958-08-25,96,Return To Me,Dean Martin,92,48,4
1958-08-25,97,Little Brass Band,David Seville,-,97,1
1958-08-25,98,You're A Sweetheart,Little Willie John,66,66,3
1958-08-25,99,You Cheated,The Slades,49,42,4
1958-08-25,100,Treasure Of Your Love,Eileen Rodgers,-,100,1
1958-09-01,1,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,2,1,5
1958-09-01,2,Little Star,The Elegants,1,1,5
1958-09-01,3,Bird Dog,The Everly Brothers,3,3,5
1958-09-01,4,Just A Dream,Jimmy Clanton And His Rockets,4,4,5
1958-09-01,5,Poor Little Fool,Ricky Nelson,6,1,5
1958-09-01,6,Patricia,Perez Prado And His Orchestra,7,2,5
1958-09-01,7,My True Love,Jack Scott,5,3,5
1958-09-01,8,When,Kalin Twins,10,5,5
1958-09-01,9,Ginger Bread,Frankie Avalon,17,9,5
1958-09-01,10,Are You Really Mine,Jimmie Rodgers,20,10,5
1958-09-01,11,Born Too Late,Poni-Tails,8,8,5
1958-09-01,12,Fever,Peggy Lee,8,8,5
1958-09-01,13,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,11,6,5
1958-09-01,14,Western Movies,The Olympics,13,13,5
1958-09-01,15,Volare (Nel Blu Dipinto Di Blu),Dean Martin,19,15,5
1958-09-01,16,Willie And The Hand Jive,The Johnny Otis Show,12,9,5
1958-09-01,17,Rock-in Robin,Bobby Day,25,17,5
1958-09-01,18,Splish Splash,Bobby Darin,16,3,5
