She Knows,J. Cole Featuring Amber Coffman & The Cults,,"hip-hop,rap,hiphop,northcarolina",J.+Cole/_/She+Knows+(featuring+Amber+Coffman)
Save A Horse (Ride A Cowboy),Big & Rich,3:15,"country,countryrock",Big+&+Rich/_/Save+a+Horse+(Ride+a+Cowboy)
Sailing,Christopher Cross,4:13,"softrock,80s,easylistening,pop,yachtrock",Christopher+Cross/_/Sailing
Throw Your Set In The Air,Cypress Hill,3:26,"hip-hop,hiphop",Cypress+Hill/_/Throw+Your+Set+in+the+Air
Harry Hippie,Bobby Womack & Peace,3:46,"soul,blues",Bobby+Womack/_/Harry+Hippie
Bahamas Promises,Drake,3:04,"drake,contemporaryrnb,alternativernb",Drake/_/Bahamas+Promises
My Real Name,Fats Domino,2:18,"blues,rhythmandblues,rocknroll,rockandroll,oldies",Fats+Domino/_/My+Real+Name
Who Loves You,The 4 Seasons,4:12,"disco,70s,pop",Frankie+Valli+&+the+Four+Seasons/_/Who+Loves+You
Wake Up Little Susie,Simon & Garfunkel,2:18,"folk,rock,classicrock,pop,77davez-all-tracks,susie,cover",Simon+&+Garfunkel/_/Wake+Up+Little+Susie
Oh Julie,Barry Manilow,2:14,"pop,easylistening,80s,softrock,oldies",Barry+Manilow/_/Oh+Julie
Jumpin' Jack Flash,Johnny Winter,7:50,"blues,bluesrock,rock,guitar,classicrock",Johnny+Winter/_/Jumpin+Jack+Flash
Everything In My Heart,Corey Hart,4:56,"80s,softrock,pop",Corey+Hart/_/Everything+In+My+Heart
Honkytonk U,Toby Keith,3:34,"country,countryrock",Toby+Keith/_/Honkytonk+U
Caribbean Queen (No More Love On The Run),Billy Ocean,4:04,"80s,pop,dance,soul",Billy+Ocean/_/Caribbean+Queen+(No+More+Love+on+the+Run)
Georgia On My Mind,Ray Charles,3:36,"soul,jazz,blues,raycharles,piano",Ray+Charles/_/Georgia+On+My+Mind
After Midnight,J.J. Cale,2:25,"blues,bluesrock,classicrock,guitar,rock",J.J.+Cale/_/After+Midnight
Thru Your Phone,Cardi B,3:08,"hiphop,alternative,urban,justintranter",Cardi+B/_/Thru+Your+Phone
When Love Is New,Arthur Prysock,7:08,"1976,dancefloorclassics",Arthur+Prysock/_/When+Love+is+New
Underwater,The Frogmen,2:09,"surf,surfrock,instrumental",The+Frogmen/_/Underwater
"Well, I Told You",The Chantels,2:24,7soul,"The+Chantels/_/Well,+I+Told+You"
Butt Naked,Charm,3:57,"goa,japanese,hardcore,anime,hardcorepunk",Charm/_/Butt+Naked
Lightning's Girl,Nancy Sinatra,2:53,"60s,1966,femalevocalists,pop",Nancy+Sinatra/_/Lightning%27s+Girl
A Passion Play (Edit #8),Jethro Tull,3:28,"progressiverock,classicrock,folkrock,rock",Jethro+Tull/_/A+Passion+Play+Edit+%238
One Too Many Mornings,Beau Brummels,2:51,bobdylancover,The+Beau+Brummels/_/One+Too+Many+Mornings
If I Can't Have You,Shawn Mendes,3:10,"pop,canadian",Shawn+Mendes/_/If+I+Can%27t+Have+You
